Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Jordan Pickford,"Everton,",", GK",14,1260,-,1,3,-,-,55.7,0.2,3,6.97
Gaëtan Laborde,"Nice,",", AM(CLR),FW",8(2),735,3,-,-,-,1.8,70.1,1.7,1,6.97
Daniel Parejo,"Villarreal,",", M(C)",14,1230,-,2,2,-,0.8,89,0.3,1,6.97
Alexis Flips,"Reims,",", M(CR)",8(3),645,1,2,1,1,1.4,69.6,0.5,1,6.97
Youri Tielemans,"Leicester,",", M(C)",14(1),1172,3,1,1,-,1.1,86.4,0.8,-,6.97
Dayot Upamecano,"Bayern,",", D(C)",15,1342,-,-,1,-,0.3,90.5,2.1,-,6.97
Alfonso Pedraza,"Villarreal,",", D(L),M(L)",10,808,-,1,1,-,1.5,79.9,0.9,-,6.97
Samuel Lino,"Valencia,",", AM(LR),FW",14,1216,2,-,3,-,2.7,82.6,0.5,1,6.97
Sheraldo Becker,"Union Berlin,",", AM(CLR),FW",15,1066,7,3,1,-,1.6,69.2,0.5,2,6.96
Rodrigo,"Leeds,",", M(CLR),FW",12(1),895,9,1,1,-,3,72.6,1.2,1,6.96
Alex Berenguer,"Athletic Bilbao,",", D(LR),M(CLR),FW",12(1),1032,3,1,-,-,2,74.2,1.4,-,6.96
Vinicius Souza,"Espanyol,",", DMC",14,1194,-,-,4,-,0.3,81.9,2.6,1,6.96
Giovanni Di Lorenzo,"Napoli,",", D(CLR),M(R)",15,1339,-,2,1,-,0.8,88.5,0.8,-,6.96
Iñaki Williams,"Athletic Bilbao,",", AM(CLR),FW",14,1149,5,1,-,-,2.4,70.5,0.8,1,6.96
Declan Rice,"West Ham,",", D(C),DMC",15,1350,1,2,2,-,1.2,90.4,1,1,6.96
Fikayo Tomori,"AC Milan,",", D(CR)",14(1),1284,1,-,1,-,0.3,88.5,2.1,2,6.96
Rony Lopes,"Troyes,",", AM(CLR),FW",9(2),644,2,4,2,-,2.1,81.1,0.5,-,6.95
Rodrigo Becão,"Udinese,",", D(C)",9,783,1,1,5,-,0.6,79.5,2.1,-,6.95
Nico Williams,"Athletic Bilbao,",", AM(R)",13(1),1076,3,3,-,-,1.7,79.1,0.4,2,6.95
Ozan Kabak,"Hoffenheim,",", D(C)",14,1257,2,2,4,1,1.1,85.4,3.5,1,6.95
João Palhinha,"Fulham,",", DMC",14,1253,2,-,5,-,1.1,83,2.1,1,6.95
Azor Matusiwa,"Reims,",", DMC",9,785,-,-,1,-,0.3,81.7,1.4,-,6.95
Jeremías Ledesma,"Cadiz,",", GK",14,1260,-,-,-,-,-,48.1,-,2,6.95
Nuno Tavares,"Marseille,",", D(L),M(L)",11(3),1102,3,-,4,-,2,80.3,0.5,1,6.95
Alexander Sørloth,"Real Sociedad,",", AM(R),FW",10,825,4,1,1,-,2.4,69.4,1.7,1,6.95
Rafael Ratão,"Toulouse,",", AM(R)",10(1),717,3,-,1,-,0.9,73.5,0.5,-,6.95
Jordi Alba,"Barcelona,",", D(L),M(L)",7(3),683,-,1,2,-,0.5,87.9,0.3,-,6.95
