Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Alex Iwobi,Everton,M(CLR),15,1333,1,5,1,0,0.9,82.0,0.1,0,6.75
Dejan Ljubicic,FC Koln,M(CR),7,565,3,0,1,0,1.7,81.0,0.1,1,6.75
Jimmy Cabot,Lens,M(LR),5,508,0,1,2,0,0.5,83.4,0.3,2,6.75
Silas Mvumpa,Stuttgart,"M(LR),FW",13,1051,3,2,1,0,1.6,78.6,0.7,2,6.74
Ante Rebic,AC Milan,"AM(CLR),FW",4,429,3,2,2,0,1.3,60.9,0.5,1,6.74
James Justin,Leicester,"D(CLR),M(LR)",14,1254,0,0,0,0,0.4,81.5,1.6,0,6.74
Óscar Trejo,Rayo Vallecano,"M(CLR),FW",11,849,2,2,6,0,0.8,83.6,0.5,0,6.74
Azzedine Ounahi,Angers,AM(CR),13,1106,0,0,1,0,1.6,88.6,0.4,0,6.74
Facundo Medina,Lens,D(CL),14,1226,1,1,3,0,0.5,89.4,1.1,1,6.74
Ola Aina,Torino,"D(CLR),M(LR)",7,582,1,0,3,0,0.6,77.9,0.8,1,6.74
Alidu Seidu,Clermont Foot,D(CR),14,1215,0,0,4,0,0.3,90.0,0.7,0,6.74
Nemanja Gudelj,Sevilla,"D(C),M(C)",12,1036,2,0,4,0,1.5,91.9,1.3,2,6.74
Vanderson,Monaco,"D(R),M(R)",9,857,0,1,1,1,0.5,81.5,0.8,1,6.74
Cheick Oumar Doucouré,Crystal Palace,DMC,12,970,0,1,5,0,0.8,87.0,0.7,0,6.74
Brice Samba,Lens,GK,15,1350,0,0,1,0,0.0,72.6,0.2,0,6.74
Lewis Ferguson,Bologna,M(C),6,512,3,0,1,0,1.0,81.7,0.9,2,6.74
Martín Zubimendi,Real Sociedad,DMC,13,1151,1,2,4,0,0.4,84.5,2.4,1,6.74
Emmanuel Agbadou,Reims,"D(C),DMC",11,970,0,0,2,2,0.8,84.4,1.9,1,6.74
Edu Expósito,Espanyol,M(C),10,781,2,2,0,0,0.8,77.3,0.6,1,6.74
Federico Baschirotto,Lecce,D(C),15,1350,1,0,2,0,0.6,75.7,2.4,0,6.73
Lars Stindl,Borussia M.Gladbach,"M(CLR),FW",8,685,1,5,4,0,1.2,78.2,0.4,0,6.73
Johann Lepenant,Lyon,M(C),9,833,0,0,1,0,0.8,88.4,0.8,0,6.73
Óscar Rodríguez,Celta Vigo,AM(CLR),12,1003,2,0,2,0,2.0,84.6,0.6,0,6.73
Farès Chaïbi,Toulouse,Midfielder,9,835,2,4,1,0,1.5,74.5,1.1,0,6.73
Nicolás Domínguez,Bologna,M(C),11,971,1,1,3,0,1.2,81.1,0.6,1,6.73
Thierry Correia,Valencia,"D(R),M(R)",14,1214,0,0,3,0,0.3,80.5,0.9,0,6.73
Montassar Talbi,Lorient,D(C),15,1350,0,1,0,0,0.2,88.7,2.3,0,6.73
Bryan Mbeumo,Brentford,"AM(LR),FW",15,1134,3,1,3,0,1.9,73.4,0.7,0,6.73
Javi Galán,Celta Vigo,"D(L),M(L)",14,1256,0,1,2,0,0.4,81.6,0.7,2,6.73
Arkadiusz Milik,Juventus,"AM(C),FW",7,709,4,0,1,1,1.7,80.1,1.6,1,6.73
Mounaïm El Idrissy,AC Ajaccio,FW,12,1065,3,0,4,0,1.8,73.8,3.1,2,6.73
Quentin Merlin,Nantes,"D(L),M(L)",13,1133,0,1,1,0,0.8,80.2,0.7,0,6.73
Philipp Lienhart,Freiburg,D(C),15,1348,0,0,0,0,0.3,86.6,2.1,0,6.73
Mohammed Salisu,Southampton,D(CL),14,1260,0,1,4,0,0.6,78.9,2.1,0,6.72
Nikola Vlasic,Torino,"AM(CLR),FW",14,1281,4,2,1,0,2.3,79.7,0.8,0,6.72
Takefusa Kubo,Real Sociedad,"AM(CLR),FW",10,850,2,2,0,0,1.8,78.4,0.6,1,6.72
Milos Veljkovic,Werder Bremen,"D(C),DMC",12,1036,1,0,1,0,0.2,81.0,1.8,0,6.72
Jonjoe Kenny,Hertha Berlin,"D(LR),M(R)",15,1350,0,1,1,0,0.4,75.6,0.9,0,6.72
Leonardo Sernicola,Cremonese,M(R),10,905,1,1,4,0,1.1,71.2,1.1,1,6.72
Santi Comesaña,Rayo Vallecano,M(C),8,734,1,0,2,0,1.0,84.2,0.8,0,6.72
Óscar Valentín,Rayo Vallecano,DMC,11,961,0,0,5,0,0.6,84.5,0.8,0,6.72
Brian Oliván,Espanyol,D(CL),14,1212,0,3,3,0,0.6,71.0,0.7,0,6.72
Brenden Aaronson,Leeds,AM(CLR),14,1196,1,2,2,0,1.4,80.0,0.4,0,6.72
Vitinha,PSG,M(C),10,843,0,0,2,0,1.0,93.6,0.2,0,6.72
Samu Castillejo,Valencia,AM(CLR),8,618,2,0,4,0,1.9,86.5,0.3,0,6.72
Luke Shaw,Man Utd,"D(CL),M(L)",9,786,0,1,3,0,0.4,85.0,1.1,0,6.71
